pathway_id,I,type,tissue
hsa04723,0.5846125735473712,kpca,Ovary-ca-mouse
hsa00561,0.40484771247539336,kpca,Ovary-ca-mouse
hsa04216,0.33156345872517207,kpca,Ovary-ca-mouse
hsa00564,0.26082770521933046,kpca,Ovary-ca-mouse
hsa05231,0.25799541426229444,kpca,Ovary-ca-mouse
hsa04148,0.1740685922978252,kpca,Ovary-ca-mouse
hsa00600,0.17243172309014357,kpca,Ovary-ca-mouse
hsa05208,0.13988639135149428,kpca,Ovary-ca-mouse
hsa04723,0.564124268403754,gsva,Ovary-ca-mouse
hsa02010,0.47865451784962637,gsva,Ovary-ca-mouse
hsa04976,0.45148579505048864,gsva,Ovary-ca-mouse
hsa04024,0.40019769436812186,gsva,Ovary-ca-mouse
hsa05231,0.36032091261354815,gsva,Ovary-ca-mouse
hsa00561,0.3099525293119572,gsva,Ovary-ca-mouse
hsa04216,0.2992226370261398,gsva,Ovary-ca-mouse
hsa05208,0.29362167957414864,gsva,Ovary-ca-mouse
hsa00600,0.2694289546836047,gsva,Ovary-ca-mouse
hsa00564,0.19439119705788346,gsva,Ovary-ca-mouse
hsa04148,0.1839378430507355,gsva,Ovary-ca-mouse
hsa00140,0.6617241789048003,kpca,Brain-demyel-mouse
hsa00120,0.6616789377445078,kpca,Brain-demyel-mouse
hsa04976,0.6336340647665458,kpca,Brain-demyel-mouse
hsa04979,0.6187486171381296,kpca,Brain-demyel-mouse
hsa04148,0.6133525396935837,kpca,Brain-demyel-mouse
hsa04217,0.567535762561664,kpca,Brain-demyel-mouse
hsa04071,0.5661117756178476,kpca,Brain-demyel-mouse
hsa04722,0.5661040357478164,kpca,Brain-demyel-mouse
hsa00561,0.3855966909070968,kpca,Brain-demyel-mouse
hsa04923,0.38050306271684736,kpca,Brain-demyel-mouse
hsa00100,0.2215212783547276,kpca,Brain-demyel-mouse
hsa00564,0.15152591535223534,kpca,Brain-demyel-mouse
hsa04024,0.08132703700193884,kpca,Brain-demyel-mouse
hsa04072,0.08132703700193884,kpca,Brain-demyel-mouse
hsa05231,0.07833550050518441,kpca,Brain-demyel-mouse
hsa04723,0.07422458518476618,kpca,Brain-demyel-mouse
hsa00600,0.02230106909346378,kpca,Brain-demyel-mouse
hsa05231,0.6157579454568598,gsva,Brain-demyel-mouse
hsa00564,0.6153058581559953,gsva,Brain-demyel-mouse
hsa04723,0.6147640626768838,gsva,Brain-demyel-mouse
hsa04072,0.613769279999512,gsva,Brain-demyel-mouse
hsa04024,0.613769279999512,gsva,Brain-demyel-mouse
hsa00561,0.5850554330322546,gsva,Brain-demyel-mouse
hsa04923,0.5784411888205361,gsva,Brain-demyel-mouse
hsa00120,0.5590087745386735,gsva,Brain-demyel-mouse
hsa00140,0.5433066260972294,gsva,Brain-demyel-mouse
hsa00100,0.5339056841571937,gsva,Brain-demyel-mouse
hsa00600,0.5126152133364004,gsva,Brain-demyel-mouse
hsa04071,0.5066286513612881,gsva,Brain-demyel-mouse
hsa04217,0.4990866098919797,gsva,Brain-demyel-mouse
hsa04722,0.47662968174452747,gsva,Brain-demyel-mouse
hsa04976,0.47202968527364353,gsva,Brain-demyel-mouse
hsa04979,0.37776861677774415,gsva,Brain-demyel-mouse
hsa04148,0.2524746538027133,gsva,Brain-demyel-mouse
hsa00565,0.5003134515773893,kpca,Brain-center-rat
hsa04071,0.4687097516186402,kpca,Brain-center-rat
hsa04217,0.4687097516186402,kpca,Brain-center-rat
hsa00564,0.39906658488032765,kpca,Brain-center-rat
hsa04148,0.39484662291909367,kpca,Brain-center-rat
hsa00860,0.37632225216545745,kpca,Brain-center-rat
hsa00600,0.37337943317140104,kpca,Brain-center-rat
hsa04723,0.3660470064572131,kpca,Brain-center-rat
hsa05231,0.2772794034205775,kpca,Brain-center-rat
hsa02010,0.2662858799330543,kpca,Brain-center-rat
hsa04216,0.2574136313558253,kpca,Brain-center-rat
hsa04976,0.15255637065811398,kpca,Brain-center-rat
hsa05231,0.6792613342516867,gsva,Brain-center-rat
hsa00600,0.6699113008422293,gsva,Brain-center-rat
hsa02010,0.645354047805758,gsva,Brain-center-rat
hsa04723,0.6336453690816832,gsva,Brain-center-rat
hsa04216,0.6076019528328238,gsva,Brain-center-rat
hsa00860,0.5890664203431777,gsva,Brain-center-rat
hsa00564,0.5761273517772089,gsva,Brain-center-rat
hsa04217,0.3557972116607862,gsva,Brain-center-rat
hsa04071,0.3557972116607862,gsva,Brain-center-rat
hsa04148,0.29728281440049303,gsva,Brain-center-rat
hsa04976,0.22847377032106825,gsva,Brain-center-rat
hsa00565,0.19081753235626692,gsva,Brain-center-rat
hsa00120,0.7475376079138,kpca,Stomach-rat
hsa02010,0.6671572485502688,kpca,Stomach-rat
hsa00140,0.6559469664578028,kpca,Stomach-rat
hsa04976,0.6406938970630683,kpca,Stomach-rat
hsa04722,0.6009513675302663,kpca,Stomach-rat
hsa04979,0.5729006975702514,kpca,Stomach-rat
hsa01040,0.5543246507596552,kpca,Stomach-rat
hsa00565,0.5325094935389848,kpca,Stomach-rat
hsa04923,0.47410956572591484,kpca,Stomach-rat
hsa04071,0.4716193771679067,kpca,Stomach-rat
hsa00100,0.45608426658322165,kpca,Stomach-rat
hsa00591,0.4537775967736229,kpca,Stomach-rat
hsa04613,0.42223943167194183,kpca,Stomach-rat
hsa04723,0.4106816189370692,kpca,Stomach-rat
hsa04072,0.4072492976993507,kpca,Stomach-rat
hsa04024,0.4072492976993507,kpca,Stomach-rat
hsa00561,0.401531354413404,kpca,Stomach-rat
hsa00592,0.38173363165112323,kpca,Stomach-rat
hsa00860,0.3469551232893579,kpca,Stomach-rat
hsa04217,0.31732633533610205,kpca,Stomach-rat
hsa04216,0.2859834279232517,kpca,Stomach-rat
hsa04148,0.25174689555469304,kpca,Stomach-rat
hsa00600,0.21491121141253797,kpca,Stomach-rat
hsa05231,0.08425093564040793,kpca,Stomach-rat
hsa00564,0.07729241774353102,kpca,Stomach-rat
hsa02010,0.7628316251101884,gsva,Stomach-rat
hsa04976,0.6766687861546747,gsva,Stomach-rat
hsa00600,0.5741101377682876,gsva,Stomach-rat
hsa00100,0.5307631703891271,gsva,Stomach-rat
hsa04979,0.529649295764567,gsva,Stomach-rat
hsa04923,0.4952209746246797,gsva,Stomach-rat
hsa04613,0.4811569570874008,gsva,Stomach-rat
hsa04216,0.4657799376172362,gsva,Stomach-rat
hsa04722,0.4579551202663812,gsva,Stomach-rat
hsa00120,0.4525231627743932,gsva,Stomach-rat
hsa00591,0.42390832268225415,gsva,Stomach-rat
hsa01040,0.4138867378473449,gsva,Stomach-rat
hsa04072,0.3991382486976687,gsva,Stomach-rat
hsa04024,0.3991382486976687,gsva,Stomach-rat
hsa04217,0.38654736749350793,gsva,Stomach-rat
hsa00561,0.37645060621577825,gsva,Stomach-rat
hsa00564,0.3379697902940624,gsva,Stomach-rat
hsa00592,0.3059734345563951,gsva,Stomach-rat
hsa04148,0.30412639998701657,gsva,Stomach-rat
hsa00565,0.26617631466794756,gsva,Stomach-rat
hsa00860,0.2537381858138685,gsva,Stomach-rat
hsa05231,0.2383588455170345,gsva,Stomach-rat
hsa04723,0.21866493826965586,gsva,Stomach-rat
hsa00140,0.1959865542887485,gsva,Stomach-rat
hsa04071,0.17841305594282336,gsva,Stomach-rat
hsa04979,0.6004215387949592,kpca,Gut-mouse
hsa00561,0.5670407111669342,kpca,Gut-mouse
hsa04923,0.4261795905244615,kpca,Gut-mouse
hsa04072,0.414714072044481,kpca,Gut-mouse
hsa04024,0.414714072044481,kpca,Gut-mouse
hsa04723,0.37103243280940773,kpca,Gut-mouse
hsa04217,0.21155781954875796,kpca,Gut-mouse
hsa04071,0.17266568555282596,kpca,Gut-mouse
hsa04148,0.16242456195433835,kpca,Gut-mouse
hsa00564,0.1385990149075175,kpca,Gut-mouse
hsa05231,0.10700308834436123,kpca,Gut-mouse
hsa00230,0.10332217071685763,kpca,Gut-mouse
hsa04722,0.09189194040488713,kpca,Gut-mouse
hsa00600,0.06553451950400045,kpca,Gut-mouse
hsa00561,0.5869281018244914,gsva,Gut-mouse
hsa04979,0.5036013948640232,gsva,Gut-mouse
hsa04723,0.42327097606621833,gsva,Gut-mouse
hsa04722,0.37435587895999645,gsva,Gut-mouse
hsa04923,0.36932948106716057,gsva,Gut-mouse
hsa04024,0.35262566632641396,gsva,Gut-mouse
hsa04072,0.35262566632641396,gsva,Gut-mouse
hsa04217,0.3205226582493228,gsva,Gut-mouse
hsa00230,0.3144592108822057,gsva,Gut-mouse
hsa04071,0.2871319983507693,gsva,Gut-mouse
hsa05231,0.23713319938705762,gsva,Gut-mouse
hsa04148,0.18236366490175848,gsva,Gut-mouse
hsa00564,0.1786046043902352,gsva,Gut-mouse
hsa00600,0.1657896952933424,gsva,Gut-mouse
hsa04148,0.560471011581388,kpca,Brain-wt1-mouse
hsa00600,0.5381228833812587,kpca,Brain-wt1-mouse
hsa04217,0.45219003551663134,kpca,Brain-wt1-mouse
hsa04071,0.4463727561172862,kpca,Brain-wt1-mouse
hsa04722,0.44636061616735273,kpca,Brain-wt1-mouse
hsa04976,0.40210158322825085,kpca,Brain-wt1-mouse
hsa04979,0.38904107984109926,kpca,Brain-wt1-mouse
hsa00100,0.36935506118081335,kpca,Brain-wt1-mouse
hsa00564,0.3343505386194909,kpca,Brain-wt1-mouse
hsa05231,0.3328272188499325,kpca,Brain-wt1-mouse
hsa04923,0.30973422376304216,kpca,Brain-wt1-mouse
hsa04723,0.30565943936413426,kpca,Brain-wt1-mouse
hsa00120,0.25374159594470913,kpca,Brain-wt1-mouse
hsa04072,0.2465452306227923,kpca,Brain-wt1-mouse
hsa04024,0.2465452306227923,kpca,Brain-wt1-mouse
hsa00561,0.23977613091773256,kpca,Brain-wt1-mouse
hsa04923,0.7254059176613155,gsva,Brain-wt1-mouse
hsa00100,0.6183631213000769,gsva,Brain-wt1-mouse
hsa00600,0.5540767715377333,gsva,Brain-wt1-mouse
hsa00561,0.5524908679992988,gsva,Brain-wt1-mouse
hsa04024,0.5378722159197044,gsva,Brain-wt1-mouse
hsa04072,0.5378722159197044,gsva,Brain-wt1-mouse
hsa04979,0.5266568297097693,gsva,Brain-wt1-mouse
hsa04071,0.5116189989009136,gsva,Brain-wt1-mouse
hsa04976,0.5059897993171814,gsva,Brain-wt1-mouse
hsa05231,0.4507738229307739,gsva,Brain-wt1-mouse
hsa04217,0.4491217592573492,gsva,Brain-wt1-mouse
hsa04722,0.4220564889091342,gsva,Brain-wt1-mouse
hsa00564,0.41437493972767675,gsva,Brain-wt1-mouse
hsa04148,0.3881618428837536,gsva,Brain-wt1-mouse
hsa04723,0.30295572691575945,gsva,Brain-wt1-mouse
hsa00120,0.07472345913349465,gsva,Brain-wt1-mouse
hsa04148,0.2824599000790066,kpca,Brain-sgt-mouse
hsa00600,0.2218957772696251,kpca,Brain-sgt-mouse
hsa04071,0.2078501300718103,kpca,Brain-sgt-mouse
hsa04217,0.2078501300718103,kpca,Brain-sgt-mouse
hsa04723,0.18939236110300253,kpca,Brain-sgt-mouse
hsa00564,0.14701242386323723,kpca,Brain-sgt-mouse
hsa05231,0.10264795216948747,kpca,Brain-sgt-mouse
hsa05231,0.2900710108062681,gsva,Brain-sgt-mouse
hsa04723,0.23122910301581465,gsva,Brain-sgt-mouse
hsa00600,0.2030062375770241,gsva,Brain-sgt-mouse
hsa00564,0.17570039417868014,gsva,Brain-sgt-mouse
hsa04071,0.16965512767726257,gsva,Brain-sgt-mouse
hsa04217,0.16965512767726257,gsva,Brain-sgt-mouse
hsa04148,0.12526972900301975,gsva,Brain-sgt-mouse
hsa05231,0.24023652264859122,kpca,Brain-trv-mouse
hsa04723,0.22302804731293407,kpca,Brain-trv-mouse
hsa04148,0.1927237195725927,kpca,Brain-trv-mouse
hsa00600,0.17598819692090004,kpca,Brain-trv-mouse
hsa04071,0.10648787269459356,kpca,Brain-trv-mouse
hsa04217,0.10648787269459356,kpca,Brain-trv-mouse
hsa00564,0.0745525601034372,kpca,Brain-trv-mouse
hsa04723,0.25903510372333216,gsva,Brain-trv-mouse
hsa05231,0.23481517856864315,gsva,Brain-trv-mouse
hsa00600,0.1941683406477696,gsva,Brain-trv-mouse
hsa04217,0.16713459795854793,gsva,Brain-trv-mouse
hsa04071,0.16713459795854793,gsva,Brain-trv-mouse
hsa00564,0.15586564979804626,gsva,Brain-trv-mouse
hsa04148,0.05855113015619101,gsva,Brain-trv-mouse
hsa00592,0.6607206268329958,kpca,Brain-sgt-rat
hsa00564,0.6435980757522661,kpca,Brain-sgt-rat
hsa04923,0.6143652953125259,kpca,Brain-sgt-rat
hsa04024,0.605573053652577,kpca,Brain-sgt-rat
hsa04072,0.605573053652577,kpca,Brain-sgt-rat
hsa04071,0.6019292182699264,kpca,Brain-sgt-rat
hsa04148,0.5644270827669097,kpca,Brain-sgt-rat
hsa05231,0.5090674559148181,kpca,Brain-sgt-rat
hsa04723,0.5036736979371218,kpca,Brain-sgt-rat
hsa00100,0.5016092913959759,kpca,Brain-sgt-rat
hsa04976,0.5014021551475049,kpca,Brain-sgt-rat
hsa04979,0.50103366397842,kpca,Brain-sgt-rat
hsa00561,0.4127334570569034,kpca,Brain-sgt-rat
hsa00600,0.006477012384922759,kpca,Brain-sgt-rat
hsa00561,0.700029794159398,gsva,Brain-sgt-rat
hsa00564,0.5860706516199978,gsva,Brain-sgt-rat
hsa04979,0.47711254181946716,gsva,Brain-sgt-rat
hsa00592,0.46346777295948877,gsva,Brain-sgt-rat
hsa04723,0.44568543997194954,gsva,Brain-sgt-rat
hsa04976,0.4398273680759232,gsva,Brain-sgt-rat
hsa00100,0.4357769923891392,gsva,Brain-sgt-rat
hsa04148,0.34524828209947367,gsva,Brain-sgt-rat
hsa04923,0.309637126925679,gsva,Brain-sgt-rat
hsa04024,0.29765059172003117,gsva,Brain-sgt-rat
hsa04072,0.29765059172003117,gsva,Brain-sgt-rat
hsa04071,0.29746027709805395,gsva,Brain-sgt-rat
hsa05231,0.27929958507349745,gsva,Brain-sgt-rat
hsa00600,0.24776959193331222,gsva,Brain-sgt-rat
hsa00100,0.6710503773672832,kpca,Brain-trv-rat
hsa04976,0.6707691289400497,kpca,Brain-trv-rat
hsa04979,0.6705146217390165,kpca,Brain-trv-rat
hsa04923,0.6049499002212056,kpca,Brain-trv-rat
hsa04072,0.5931248974106142,kpca,Brain-trv-rat
hsa04024,0.5931248974106142,kpca,Brain-trv-rat
hsa04071,0.5895058420568122,kpca,Brain-trv-rat
hsa04148,0.4765937645340292,kpca,Brain-trv-rat
hsa04723,0.476521976958909,kpca,Brain-trv-rat
hsa05231,0.46145524543240823,kpca,Brain-trv-rat
hsa00561,0.37645420447488365,kpca,Brain-trv-rat
hsa00564,0.37497048420617235,kpca,Brain-trv-rat
hsa00592,0.27061865764721366,kpca,Brain-trv-rat
hsa00600,0.1414565288565216,kpca,Brain-trv-rat
hsa00561,0.7395099343827745,gsva,Brain-trv-rat
hsa00564,0.5600249498646398,gsva,Brain-trv-rat
hsa04723,0.5182642095878986,gsva,Brain-trv-rat
hsa04979,0.47898063249294665,gsva,Brain-trv-rat
hsa00592,0.45725767950462626,gsva,Brain-trv-rat
hsa00100,0.4212346637944229,gsva,Brain-trv-rat
hsa04976,0.42115728599555535,gsva,Brain-trv-rat
hsa04923,0.35337802596343587,gsva,Brain-trv-rat
hsa04071,0.33040886709498685,gsva,Brain-trv-rat
hsa04024,0.3235015912082873,gsva,Brain-trv-rat
hsa04072,0.3235015912082873,gsva,Brain-trv-rat
hsa04148,0.2872384083611764,gsva,Brain-trv-rat
hsa05231,0.2800871878801189,gsva,Brain-trv-rat
hsa00600,0.23037842422682775,gsva,Brain-trv-rat
